LU1|-22,1320,58|2|0,0.07,1
LU2|-16,1364,22|2|0,0.07,1
LU3|-128.433,1258.82,9.856|7|-0.25,0.05,1
LU4|-130.518,1233.41,8.856|7|-0.25,0.05,1
LU5|-143,1054,-2|8|-0.25,0.05,1
LU6|-172,952,11|9|-0.25,0.05,1
LU7|-192,854,12|9|-0.25,0.05,1
LU8|-187,839,20|10|-0.25,0.05,1
LU9|-183.079,815.317,13.139|10|-0.25,0.05,1
LU10|-220.425,781.217,39.165|11|-0.25,0.05,1
LU11|-235.67,722.412,56.259|11|-0.25,0.05,1
LI1|-224.499,662.74,61.996|11|-0.25,0.05,1
LI2|-218,714,28|11|-0.25,0.05,1
LI3|-211,738,17|11|-0.25,0.05,1
LI4|-191.923,770.723,-7.629|11|-0.25,0.05,1
LI5|-187.535,819.558,-18.75|10|-0.25,0.05,1
LI6|-170.389,879,-31.475|9|-0.25,0.05,1
LI7|-164.652,919,-41.311|9|-0.25,0.05,1
LI8|-156.045,979,-56.066|9|-0.25,0.05,1
LI9|-153.176,999,-60.984|9|-0.25,0.05,1
LI10|-157,1006,-35|9|-0.25,0.05,1
LI11|-159,1058,-21|8|-0.25,0.05,1
LI12|-153,1074,-31|7|-0.25,0.05,1
LI13|-137,1131,-31|7|-0.25,0.05,1
LI14|-112,1233,-22|7|-0.25,0.05,1
LI15|-74,1341,1|6|0,0.07,1
LI16|-39,1383,-51|6|0,0.07,1
LI17|49,1430,12|1|0,0.07,1
LI18|59,1453,28|1|0,0.07,1
LI19|91,1504,81|0|0,0.05,1
LI20|80,1512,78|0|0,0.05,1
ST1|71,1532,66|0|0,0.05,1
ST2|72,1518,67|0|0,0.05,1
ST3|72,1507,72|0|0,0.05,1
ST4|79,1489,72|0|0,0.05,1
ST5|51,1460,14|0|-0.55,0.05,1
ST6|52,1471,34|0|-0.55,0.05,1
ST7|38,1521,19|0|-0.55,0.05,1
ST8|40,1602,25|0|-0.55,0.05,1
ST9|66,1444,25|1|0,0.07,1
ST10|62,1411,26|1|0,0.07,1
ST11|72,1380,34|1|0,0.07,1
ST12|23,1380,11|1|0,0.07,1
ST13|19.553,1353,29|2|0,0.07,1
ST14|19.553,1320,41|2|0,0.07,1
ST15|19.553,1287,58|2|0,0.07,1
ST16|19.553,1257,74|2|0,0.07,1
ST17|19.553,1223,85|2|0,0.07,1
ST18|19.553,1187,86|2|0,0.07,1
ST19|57.553,1135,85|3|0,0.07,1
ST20|57.553,1112.5,85|3|0,0.07,1
ST21|57.553,1090,85|3|0,0.07,1
ST22|57.553,1067.5,85|3|0,0.07,1
ST23|57.553,1045,85|3|0,0.07,1
ST24|57.553,1022.5,85|3|0,0.07,1
ST25|57.553,1000,85|3|0,0.07,1
ST26|57.553,962,85|3|0,0.07,1
ST27|57.553,924,68.04|3|0,0.07,1
ST28|57.553,886,63.86|3|0,0.07,1
ST29|57.553,848,59.68|3|0,0.07,1
ST30|57.553,810,55.5|3|0,0.07,1
ST31|-30,791,15|12|-0.45,0.05,1
ST32|-23,615,22|12|-0.45,0.05,1
ST33|-17,509,19|12|-0.45,0.05,1
ST34|-14,474,15|12|-0.45,0.05,1
ST35|0,376,9|13|-0.45,0.05,1
ST36|-9,303,2|14|-0.45,0.05,1
ST37|-9,234,2|14|-0.45,0.05,1
ST38|-9,188,2|14|-0.45,0.05,1
ST39|-9,165,2|14|-0.45,0.05,1
ST40|-28,196,-20|14|-0.45,0.05,1
ST41|23,33,-16|15|-0.55,0.65,0.6
ST42|8,7,29|16|-0.55,0.65,0.6
ST43|5,-9,57|16|-0.55,0.65,0.6
ST44|4,-30,94|16|-0.55,0.65,0.6
ST45|-6,-28,117|16|-0.55,0.65,0.6
SP1|34,-32,105|16|0.75,0.45,0.75
SP2|42,-28,64|16|0.75,0.45,0.75
SP3|44,-10,45|16|0.75,0.45,0.75
SP4|49,3,1|16|0.75,0.45,0.75
SP5|55,21,-26|16|0.75,0.45,0.75
SP6|60,91,-51|14|0.8,0.05,0.35
SP7|60,160,-51|14|0.8,0.05,0.35
SP8|60,291,-51|14|0.8,0.05,0.35
SP9|60,367,-51|14|0.8,0.05,0.35
SP10|55,469,19|12|0.8,0.05,0.35
SP11|49,653,4|12|0.8,0.05,0.35
SP12|47,801,28|4|0,0.07,1
SP13|15.553,836.6,58.426|3|0,0.07,1
SP14|15.553,950.6,70.966|3|0,0.07,1
SP15|15.553,1000,85|3|0,0.07,1
SP16|15.553,1067.5,85|3|0,0.07,1
SP17|-20.447,1187,70|2|0,0.07,1
SP18|-20.447,1223,69|2|0,0.07,1
SP19|-20.447,1257,58|2|0,0.07,1
SP20|-20.447,1287,42|2|0,0.07,1
SP21|-46,1180,-24|2|-1,0.05,0
HT1|-62,1297,-5|7|-0.25,0.05,1
HT2|-87,1125,-6|7|-0.25,0.05,1
HT3|-99,1056,-11|8|-0.25,0.05,1
HT4|-139,838,25|9|-0.25,0.05,1
HT5|-140,825,24|9|-0.25,0.05,1
HT6|-141,813,24|10|-0.25,0.05,1
HT7|-148.994,799.692,22.423|10|-0.25,0.05,1
HT8|-149.798,739.998,30.29|11|-0.25,0.05,1
HT9|-136.857,677.582,64.688|11|-0.25,0.05,1
SI1|-123.532,677.582,47.369|11|-0.25,0.05,-1
SI2|-123.823,731.934,25.071|11|-0.25,0.05,-1
SI3|-126.964,738.623,7.541|11|-0.25,0.05,-1
SI4|-130.552,790.504,-6.981|10|-0.25,0.05,-1
SI5|-134.139,809.671,-12.532|10|-0.25,0.05,-1
SI6|-130,837,-17|9|-0.25,0.05,-1
SI7|-119,925,-51|9|-0.25,0.05,-1
SI8|-105,1060,-88|8|-0.25,0.05,-1
SI9|-66,1290,-108|6|0,0.07,-1
SI10|-65,1327,-94|6|0,0.07,-1
SI11|-13,1281,-145|6|0,0.07,-1
SI12|-13,1350,-96|6|0,0.07,-1
SI13|24,1353,-109|6|0,0.07,-1
SI14|38,1386,-129|5|0,0.05,-1
SI15|56,1410,-116|5|0,0.05,-1
SI16|49,1439,-5|1|0,0.07,1
SI17|47,1464,10|1|0,0.07,1
SI18|51.968,1503.57,52.905|0|-0.55,0.05,1
SI19|36,1524,5|0|-0.55,0.05,1
BL1|88,1536,65|0|0,0.05,1
BL2|84,1560,64|0|0,0.05,1
BL3|84,1606,50|0|0,0.05,1
BL4|65,1605,42|0|0,0.05,1
BL5|64,1620,32|0|0,0.65,1
BL6|64,1644,7|0|0,0.65,1
BL7|64,1654,-33|0|0,0.65,1
BL8|64,1634,-78|0|0,0.65,-1
BL9|69,1572,-125|0|0,0.05,-1
BL10|62,1482,-104|1|0,0.05,-1
BL11|67.553,1371.27,-124.32|5|0,0.05,-1
BL12|67.553,1351.21,-130.124|5|0,0.05,-1
BL13|67.553,1326.83,-141.277|5|0,0.05,-1
BL14|67.553,1302.35,-141.797|5|0,0.05,-1
BL15|67.553,1269.24,-140.218|5|0,0.05,-1
BL16|67.553,1231.86,-141.011|5|0,0.05,-1
BL17|67.553,1203.79,-139.127|5|0,0.05,-1
BL18|67.553,1148.82,-137.312|5|0,0.05,-1
BL19|67.553,1116.51,-132.903|5|0,0.05,-1
BL20|67.553,1090.48,-125.277|5|0,0.05,-1
BL21|67.553,1060.71,-117.96|5|0,0.05,-1
BL22|67.553,1022.94,-111.649|5|0,0.05,-1
BL23|67.553,998.716,-106.531|5|0,0.05,-1
BL24|67.553,969.674,-106.518|5|0,0.05,-1
BL25|67.553,942.267,-107.095|5|0,0.05,-1
BL26|67.553,906.256,-111.36|5|0,0.05,-1
BL27|65.553,904,-139|5|0,0.05,-1
BL28|65.553,879,-139|5|0,0.05,-1
BL29|65.553,851,-139|5|0,0.05,-1
BL30|65.553,829,-139|5|0,0.05,-1
BL31|71.553,902,-127|5|0,0.05,-1
BL32|73.553,878,-127|5|0,0.05,-1
BL33|76.553,853,-127|5|0,0.05,-1
BL34|79.553,832,-127|5|0,0.05,-1
BL35|88.553,787,-118|4|0,0,-1
BL36|8,748,-127|12|0,0,-1
BL37|15,587,-123|12|0,0,-1
BL38|-6,425,-107|13|0,0,-1
BL39|-7,399,-103|13|0,0,-1
BL40|23,391,-109|13|0,0,-1
BL41|34.553,1351.21,-130.124|5|0,0.05,-1
BL42|34.553,1326.83,-141.277|5|0,0.05,-1
BL43|34.553,1302.35,-141.797|5|0,0.05,-1
BL44|34.553,1269.24,-140.218|5|0,0.05,-1
BL45|34.553,1231.86,-141.011|5|0,0.05,-1
BL46|34.553,1203.79,-139.127|5|0,0.05,-1
BL47|34.553,1148.82,-137.312|5|0,0.05,-1
BL48|34.553,1116.51,-132.903|5|0,0.05,-1
BL49|34.553,1090.48,-125.277|5|0,0.05,-1
BL50|34.553,1060.71,-117.96|5|0,0.05,-1
BL51|34.553,1022.94,-111.649|5|0,0.05,-1
BL52|34.553,998.716,-106.531|5|0,0.05,-1
BL53|32.553,877,-137|5|0,0.05,-1
BL54|32.553,830,-139|5|0,0.05,-1
BL55|22,344,-121|14|-0.5,0.15,-1
BL56|23,275,-130|14|-0.5,0.15,-1
BL57|24,211,-123|14|-0.5,0.15,-1
BL58|3,183,-116|14|-0.5,0.15,-1
BL59|-2,94,-106|14|-0.5,0.15,-1
BL60|-11,17,-95|15|-0.5,0.15,-1
BL61|-14,-14,-97|15|-0.5,0.15,-1
BL62|-18,-8,-72|15|-0.5,0.15,-1
BL63|-23,-13,-39|16|-0.6,0.7,0.4
BL64|-35,-13,-6|16|-0.6,0.7,0.4
BL65|-48,-28,41|16|-0.6,0.7,0.4
BL66|-49,-33,63|16|-0.6,0.7,0.4
BL67|-51,-31,83|16|-0.6,0.7,0.4
KI1|12,-49,20|17|0,-1,0.08
KI2|55,0,-13|15|0.75,0.45,0.75
KI3|63,16,-90|15|0.75,0.45,0.75
KI4|58,-2,-96|15|0.75,0.45,0.75
KI5|52,-10,-97|15|0.75,0.45,0.75
KI6|58,-3,-68|15|0.75,0.45,0.75
